SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,STORM_SPEED,STORM_DIR
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/31/2017 12:00,NR,-21.6,101.2, , , ,main,1281,1281,O_____________,14,253
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/31/2017 15:00,NR,-21.8499,100.485, , , ,main,1349,1349,P_____________,14,249
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/31/2017 18:00,NR,-22.1,99.8, , , ,main,1411,1411,O_____________,13,251
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/31/2017 21:00,NR,-22.2645,99.1921, , , ,main,1467,1467,P_____________,12,255
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/1/2017 0:00,NR,-22.4,98.6, , , ,main,1525,1525,O_____________,12,256
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/1/2017 3:00,NR,-22.542,97.9797, , , ,main,1583,1583,P_____________,12,256
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/1/2017 6:00,NR,-22.7,97.3, , , ,main,1650,1650,O_____________,14,255
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/1/2017 9:00,NR,-22.9004,96.4853, , , ,main,1727,1727,P_____________,15,255
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/1/2017 12:00,SS,-23.1,95.7, , , ,main,1805,1805,O_____________,13,252
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/1/2017 15:00,SS,-23.2939,95.1501, , , ,main,1852,1852,P_____________,11,253
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/1/2017 18:00,NR,-23.4,94.6, , , ,main,1909,1909,O_____________,12,270
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/1/2017 21:00,NR,-23.3002,93.8288, , , ,main,1991,1991,P_____________,15,278
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/2/2017 0:00,SS,-23.2,93, , , ,main,2073,2073,O_____________,15,269
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/2/2017 3:00,SS,-23.3271,92.2357, , , ,main,2150,2150,P_____________,14,258
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/2/2017 6:00,SS,-23.5,91.5, , , ,main,2215,2215,O_____________,13,259
2017033S14056,2017,3,SI,MM,CARLOS,2/2/2017 6:00,TS,-13.75,55.7,15,1008,reunion,main,584,574,O____O________,1,308
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/2/2017 9:00,SS,-23.587,90.8001, , , ,main,2282,2282,P_____________,13,266
2017033S14056,2017,3,SI,MM,CARLOS,2/2/2017 9:00,TS,-13.7075,55.64, , , ,main,574,574,P____P________,1,317
2017026S16127,2017,2,SI,WA,NOT_NAMED,2/2/2017 12:00,SS,-23.6,90.1, , , ,main,2352,2352,O_____________,13,272
2017033S14056,2017,3,SI,MM,CARLOS,2/2/2017 12:00,TS,-13.65,55.6,15,1008,reunion,main,577,574,O____O________,1,337
2017026S16127,2017,2,SI,MM,NOT_NAMED,2/2/2017 15:00,SS,-23.5448,89.3501, , , ,main,2424,2424,P_____________,14,278
2017033S14056,2017,3,SI,MM,CARLOS,2/2/2017 15:00,TS,-13.5712,55.5863, , , ,main,577,577,P____P________,2,341
2017026S16127,2017,2,SI,MM,NOT_NAMED,2/2/2017 18:00,SS,-23.4,88.6, , , ,main,2506,2506,O_____________,14,285
2017033S14056,2017,3,SI,MM,CARLOS,2/2/2017 18:00,TS,-13.5,55.55,15,1008,reunion,main,581,565,O____O________,2,310
2017026S16127,2017,2,SI,MM,NOT_NAMED,2/2/2017 21:00,SS,-23.173,87.8869, , , ,main,2581,2581,P_____________,14,291
2017033S14056,2017,3,SI,MM,CARLOS,2/2/2017 21:00,TS,-13.445,55.4287, , , ,main,565,555,P____P________,2,282
2017026S16127,2017,2,SI,MM,NOT_NAMED,2/3/2017 0:00,SS,-22.9,87.2, , , ,main,2638, ,O_____________,14,293
2017033S14056,2017,3,SI,MM,CARLOS,2/3/2017 0:00,TS,-13.45,55.3,15,1007,reunion,main,555,541,O____O________,3,250
2017033S14056,2017,3,SI,MM,CARLOS,2/3/2017 3:00,TS,-13.5337,55.1827, , , ,main,541,533,P____P________,3,201
2017033S14056,2017,3,SI,MM,CARLOS,2/3/2017 6:00,TS,-13.7,55.2,20,1005,reunion,main,533,533,O____O________,5,144
2017033S14056,2017,3,SI,MM,CARLOS,2/3/2017 9:00,TS,-13.9201,55.4687, , , ,main,557,554,P____P________,8,128
2017033S14056,2017,3,SI,MM,CARLOS,2/3/2017 12:00,TS,-14.2,55.85,25,1002,reunion,main,591,581,O____O________,9,130
2017033S14056,2017,3,SI,MM,CARLOS,2/3/2017 15:00,TS,-14.51,56.2012, , , ,main,617,602,P____P________,9,136
2017033S14056,2017,3,SI,MM,CARLOS,2/3/2017 18:00,TS,-14.85,56.5,27,1001,reunion,main,602,554,O____O________,8,145
2017033S14056,2017,3,SI,MM,CARLOS,2/3/2017 21:00,TS,-15.1931,56.6954, , , ,main,554,520,P____P________,8,157
2017033S14056,2017,3,SI,MM,CARLOS,2/4/2017 0:00,TS,-15.55,56.8,30,1000,reunion,main,520,475,O____O________,8,169
2017033S14056,2017,3,SI,MM,CARLOS,2/4/2017 3:00,TS,-15.9287,56.8438, , , ,main,475,444,O____P________,7,189
2017033S14056,2017,3,SI,MM,CARLOS,2/4/2017 6:00,TS,-16.2,56.7,40,995,reunion,main,444,424,O____O________,6,206
2017033S14056,2017,3,SI,MM,CARLOS,2/4/2017 9:00,TS,-16.4472,56.5792, , , ,main,424,405,P____P________,5,203
2017033S14056,2017,3,SI,MM,CARLOS,2/4/2017 12:00,TS,-16.65,56.5,50,990,reunion,main,405,383,O____O________,4,197
2017033S14056,2017,3,SI,MM,CARLOS,2/4/2017 15:00,TS,-16.7937,56.4737, , , ,main,383,373,P____P________,3,178
2017033S14056,2017,3,SI,MM,CARLOS,2/4/2017 18:00,TS,-16.9,56.5,50,989,reunion,main,373,359,O____O________,2,160
2017033S14056,2017,3,SI,MM,CARLOS,2/4/2017 21:00,TS,-17.0038,56.56, , , ,main,359,348,P____P________,2,144
2017033S14056,2017,3,SI,MM,CARLOS,2/5/2017 0:00,TS,-17.1,56.65,50,988,reunion,main,346,335,O____O________,3,139
2017033S14056,2017,3,SI,MM,CARLOS,2/5/2017 3:00,TS,-17.2037,56.7388, , , ,main,335,321,P____P________,3,136
2017033S14056,2017,3,SI,MM,CARLOS,2/5/2017 6:00,TS,-17.3,56.85,53,984,reunion,main,319,306,O____O________,3,128
2017033S14056,2017,3,SI,MM,CARLOS,2/5/2017 9:00,TS,-17.3862,56.9813, , , ,main,306,304,P____P________,3,118
2017033S14056,2017,3,SI,MM,CARLOS,2/5/2017 12:00,TS,-17.45,57.15,60,975,reunion,main,303,291,O____O________,4,104
2017033S14056,2017,3,SI,MM,CARLOS,2/5/2017 15:00,TS,-17.4788,57.3788, , , ,main,291,290,P____P________,4,97
2017033S14056,2017,3,SI,MM,CARLOS,2/5/2017 18:00,TS,-17.5,57.6,60,975,reunion,main,290,290,O____V________,4,99
2017033S14056,2017,3,SI,MM,CARLOS,2/5/2017 21:00,TS,-17.5425,57.785, , , ,main,291,279,P____P________,3,113
2017033S14056,2017,3,SI,MM,CARLOS,2/6/2017 0:00,TS,-17.6,57.85,55,980,reunion,main,280,279,O____O________,1,209
2017033S14056,2017,3,SI,MM,CARLOS,2/6/2017 3:00,TS,-17.6522,57.7197, , , ,main,268,268,P____P________,4,246
2017033S14056,2017,3,SI,MM,CARLOS,2/6/2017 6:00,TS,-17.75,57.5,50,985,reunion,main,268,246,O____O________,5,235
2017033S14056,2017,3,SI,MM,CARLOS,2/6/2017 9:00,TS,-17.9212,57.3138, , , ,main,247,225,O____P________,5,219
2017033S14056,2017,3,SI,MM,CARLOS,2/6/2017 12:00,TS,-18.1,57.2,43,992,reunion,main,225,205,O____O________,4,207
2017033S14056,2017,3,SI,MM,CARLOS,2/6/2017 15:00,TS,-18.2602,57.1339, , , ,main,205,194,P____P________,4,208
2017033S14056,2017,3,SI,MM,CARLOS,2/6/2017 18:00,TS,-18.45,57,40,994,reunion,main,197,172,O____O________,6,221
2017033S14056,2017,3,SI,MM,CARLOS,2/6/2017 21:00,TS,-18.725,56.7064, , , ,main,177,167,P____P________,9,230
2017033S14056,2017,3,SI,MM,CARLOS,2/7/2017 0:00,TS,-19,56.3,38,995,reunion,main,175,175,O____O________,9,242
2017033S14056,2017,3,SI,MM,CARLOS,2/7/2017 3:00,TS,-19.1751,55.8285, , , ,main,201,190,P____P________,10,249
2017033S14056,2017,3,SI,MM,CARLOS,2/7/2017 6:00,TS,-19.35,55.35,40,994,reunion,main,190,159,O____O________,9,243
2017033S14056,2017,3,SI,MM,CARLOS,2/7/2017 9:00,TS,-19.5986,54.9487, , , ,main,162,143,P____P________,9,232
2017033S14056,2017,3,SI,MM,CARLOS,2/7/2017 12:00,TS,-19.9,54.6,38,995,reunion,main,143,137,O____O________,9,225
2017033S14056,2017,3,SI,MM,CARLOS,2/7/2017 15:00,TS,-20.2236,54.2959, , , ,main,137,129,P____P________,9,219
2017033S14056,2017,3,SI,MM,CARLOS,2/7/2017 18:00,TS,-20.6,54,32,998,reunion,main,136,136,O____V________,10,216
2017033S14056,2017,3,SI,MM,CARLOS,2/7/2017 21:00,TS,-21.0575,53.6502, , , ,main,155,155,P____P________,11,216
2017033S14056,2017,3,SI,MM,CARLOS,2/8/2017 0:00,TS,-21.5,53.3,35,996,reunion,main,201,201,O____O________,10,220
2017033S14056,2017,3,SI,MM,CARLOS,2/8/2017 3:00,TS,-21.8488,52.9475, , , ,main,250,250,P____P________,8,223
2017033S14056,2017,3,SI,MM,CARLOS,2/8/2017 6:00,TS,-22.1,52.7,45,990,reunion,main,281,281,O____O________,5,217
2017033S14056,2017,3,SI,MM,CARLOS,2/8/2017 9:00,TS,-22.2211,52.6436, , , ,main,295,286,P____P________,3,178
2017033S14056,2017,3,SI,MM,CARLOS,2/8/2017 12:00,TS,-22.35,52.7,50,985,reunion,main,290,290,O____O________,5,168
2017033S14056,2017,3,SI,MM,CARLOS,2/8/2017 15:00,TS,-22.6637,52.7525, , , ,main,301,301,P____P________,7,168
